id,host_id,actual_label,prob_illegal,latitude,longitude
725253395449891146,219517861,0,0.9311098535195471,40.74984,-73.97913
1097164750741381817,546483248,0,0.9310535705628525,40.69986929532941,-73.92717891423695
807957188943197036,4367518,0,0.93084749358923,40.69078627816679,-73.91041744269033
18753645,130473272,0,0.9307044953469175,40.68127020258486,-73.97006924227995
725243436882376244,219517861,0,0.9306211809421867,40.75019,-73.97924
50230523,9743617,0,0.9300671063983443,40.81563,-73.94315
50638762,409139174,0,0.9299089641032208,40.58547,-73.93659
1379127078250502840,219517861,0,0.9295641433745656,40.71897,-73.99068
35154668,231281049,0,0.9295236388383152,40.76487,-73.98119
1109634888266503902,436311597,0,0.9294355655521663,40.67004797201975,-73.94189584105119
14215652,57283593,0,0.9287839612780303,40.73569,-74.00256
871075934437189983,488010446,0,0.9284524737506925,40.6918803858158,-73.9026305971144
13004961,4852748,0,0.9283492485228286,40.80693282670203,-73.94565671073971
784913772644779819,341154525,0,0.9282532408704567,40.67743,-73.94618
901545811560679267,517029148,0,0.92759850044606,40.81373860384619,-73.91777897346118
1139399302559935460,573381793,0,0.9274953728741838,40.66915612933354,-73.94243750683391
968232639190407327,3559865,0,0.9274525052663997,40.68919,-73.94978
1061616810265679219,547471971,0,0.9269275992172524,40.6700874,-73.9419048
1400792556812663024,480712002,0,0.9266208897638997,40.66832004578445,-73.92604302911637
1084828217755386005,549961791,0,0.9265523400495406,40.7345258,-73.8554255
27637065,13462855,0,0.9264341396067399,40.67992,-73.93789
1149533863702762999,553839372,0,0.9264195771527287,40.7273527,-73.8106833
890024618549880298,16954523,0,0.9262605966186892,40.68742415308935,-73.91351802359968
41295029,323985104,0,0.9261917777476094,40.74176,-74.00038
969037168119524983,213755069,0,0.9260759325762987,40.67632,-73.89297
4025329,9743617,0,0.9259946040156612,40.81469,-73.94324
1090713696580310351,545634534,0,0.9259802756784056,40.673801928696726,-73.93041237820137
968796501661082781,22088164,0,0.9255503600718087,40.8081158,-73.93986269999999
32858018,242924411,0,0.9254565917111841,40.68355,-73.95402
1344203989320440460,381231688,0,0.9253898122499838,40.71348213951576,-73.94841661399603
4978241,271527,0,0.9253197835933012,40.81141,-73.93975
750938225856054796,485988649,0,0.9250301472668427,40.64382577075339,-74.0158490821652
1237094641902152706,2821175,0,0.9248098074506472,40.68503,-73.95216
48860567,389805358,0,0.9247439599029015,40.60798,-74.00808
818211569486005441,498237429,0,0.9246558838616427,40.670667434274165,-73.92994365773743
649958810437390374,219517861,0,0.9245730061485168,40.75234,-73.93696
1097146402872824283,546483248,0,0.924555072353224,40.70181,-73.92559
1342038349846774449,407637719,0,0.9244981375017727,40.68704899999999,-73.9065768
1374210513953603689,683605643,0,0.9243966350088114,40.66804,-73.94901
16201959,67523,0,0.9243814624964116,40.68871,-73.9377
35829570,393473,0,0.9243495631850142,40.69272614,-73.9510498
34339330,250689404,0,0.9237933812772606,40.76355,-73.99201
1156713518442743761,548332044,0,0.9235646215239199,40.668571238753096,-73.93299354934668
987767833411348082,184511593,0,0.9235441836989893,40.71758,-73.94696
52168496,219517861,0,0.9234096479461946,40.7169,-74.00698
1150631181740682174,13004989,0,0.9232885110477541,40.64699,-73.97983
843260927484263191,502150064,0,0.9231663797028515,40.64281186571618,-73.90895538828251
1020660300348971167,91445933,0,0.9228724638429407,40.76293,-73.99363
842776676158517297,81464802,0,0.922848545811747,40.67905,-74.01101
1031916975423945485,91851098,0,0.9228100911398418,40.68116,-73.97014
1112521342674312346,338424773,0,0.9226251391948894,40.6981211,-73.8041205
18251681,22769654,0,0.9225844177381498,40.69348,-73.96782
1140598072502860150,573476316,0,0.922579310695842,40.67746878605471,-73.9445103567315
28200288,211549023,0,0.9224161035133018,40.74707,-73.98785
1210054863016150123,89580636,0,0.9224154522368176,40.6949838,-73.9211027
997432199888717593,540531448,0,0.9223772104382632,40.65979,-73.99559
995683781967427706,540531448,0,0.9222074724191003,40.65941721823564,-73.99427665485419
695755456324715761,457440001,0,0.9220023612709363,40.69302,-73.916
987157188477759486,537469023,0,0.9219916764563268,40.666777317757294,-73.99192714677781
39627727,219517861,0,0.9218784637684769,40.70816,-74.00625
893419014177589726,515207276,0,0.9218307719644449,40.66350576255167,-73.89371060266863
862624693922580366,481048209,0,0.9215526263447132,40.71041,-73.79112
1105895433928720782,209987060,0,0.9213218332385702,40.68924,-73.96774
982130899713091667,537469023,0,0.9210786010809019,40.67853,-73.98512
649930539132835017,219517861,0,0.9210703328582066,40.75245,-73.93591
613842278291796082,89593001,0,0.9209796680848554,40.77305,-73.92177
1321226209678557133,669090275,0,0.920955994523812,40.67694,-73.97576
998131337513068593,539907102,0,0.9207965723538832,40.68932326837233,-73.94020991847174
1043603895706682262,108356654,0,0.9207170394467041,40.62399,-73.9353
51025107,41420874,0,0.9206119319613433,40.67212,-73.94028
957270452215143039,531641326,0,0.9203300505439336,40.68975,-73.93846
1145649837286129108,1755123,0,0.9198961584251149,40.71559,-73.95344
1139430167198224176,573381793,0,0.9197341685103351,40.67042,-73.94252
1156741059474885318,549466196,0,0.9196534560093573,40.66666789771234,-73.95433049481855
17153913,2800064,0,0.9196156838069246,40.72594284446557,-73.95295829414087
649968169559996381,219517861,0,0.9194966355489598,40.75222,-73.93587
1025313635554997991,546633791,0,0.9194801921623856,40.66733,-73.93093
35545525,266533448,0,0.9193316267712828,40.73777,-73.99392
51955482,9743617,0,0.9192725563016514,40.81457,-73.94092
578327925011346119,49500419,0,0.9192572841297164,40.65393,-73.91767
15312128,97538710,0,0.919190300494234,40.69015,-73.97698
1300037681233437424,664326830,0,0.9189642711784123,40.66841,-73.92941
904438966406791286,36209545,0,0.9188192202961867,40.68551,-73.92518
948073089435542820,401202937,0,0.9187515497874977,40.74742,-73.98872
